latitude,longitude,temperature,chlorophyll,species_count
-7.5,79.5,29.192276,,0.0
-7.5,80.5,29.115702,,0.0
-6.5,60.5,29.155952,,0.0
-6.5,61.5,29.085936,,0.0
-6.5,62.5,28.915321,,0.0
-6.5,63.5,28.908562,0.15162098,0.0
-6.5,64.5,29.091003,,0.0
-6.5,65.5,29.22963,0.17000359999999998,0.0
-6.5,66.5,29.289837,,0.0
-6.5,67.5,29.335352,0.17777004,0.0
-6.5,68.5,29.352573,0.193900295,0.0
-6.5,69.5,29.31016,0.168542705,0.0
-6.5,70.5,29.230904,,0.0
-6.5,71.5,29.185732,0.2755639066666667,0.0
-6.5,72.5,29.17275,,0.0
-6.5,73.5,29.16415,0.1967045675,0.0
-6.5,74.5,29.185036,,0.0
-6.5,75.5,29.266136,,0.0
-6.5,76.5,29.382015,,0.0
-6.5,77.5,29.387962,,0.0
-6.5,78.5,29.272327,,0.0
-6.5,79.5,29.161102,,0.0
-6.5,80.5,29.061039,,0.0
-5.5,60.5,29.190035,0.1405352025,0.0
-5.5,61.5,29.100155,,0.0
-5.5,62.5,28.914118,,0.0
-5.5,63.5,28.910004,,0.0
-5.5,64.5,29.106247,,0.0
-5.5,65.5,29.238964,,0.0
-5.5,66.5,29.271803,,0.0
-5.5,67.5,29.264296,,0.0
-5.5,68.5,29.224518,0.17691396,0.0
-5.5,69.5,29.184525,0.14552628,0.0
-5.5,70.5,29.160742,,0.0
-5.5,71.5,29.157978,,0.0
-5.5,72.5,29.16042,,0.0
-5.5,73.5,29.148785,,0.0
-5.5,74.5,29.14648,,0.0
-5.5,75.5,29.210855,,0.0
-5.5,76.5,29.32046,,0.0
-5.5,77.5,29.335342,,0.0
-5.5,78.5,29.24941,,0.0
-5.5,79.5,29.144035,,0.0
-5.5,80.5,29.033264,,0.0
-4.5,60.5,29.175144,,0.0
-4.5,61.5,29.13581,,0.0
-4.5,62.5,29.032364,,0.0
-4.5,63.5,29.015121,,0.0
-4.5,64.5,29.09586,,0.0
-4.5,65.5,29.18906,,0.0
-4.5,66.5,29.264534,,0.0
-4.5,67.5,29.254131,,0.0
-4.5,68.5,29.174637,,0.0
-4.5,69.5,29.133018,,0.0
-4.5,70.5,29.136427,,0.0
-4.5,71.5,29.149206,,0.0
-4.5,72.5,29.15808,,0.0
-4.5,73.5,29.171879,,0.0
-4.5,74.5,29.205143,,0.0
-4.5,75.5,29.253918,,0.0
-4.5,76.5,29.298244,,0.0
-4.5,77.5,29.296625,,0.0
-4.5,78.5,29.249542,,0.0
-4.5,79.5,29.15672,,0.0
-4.5,80.5,29.038635,,0.0
-3.5,60.5,29.183979,,0.0
-3.5,61.5,29.168562,,0.0
-3.5,62.5,29.110867,,0.0
-3.5,63.5,29.085491,,0.0
-3.5,64.5,29.105091,,0.0
-3.5,65.5,29.157928,,0.0
-3.5,66.5,29.225285,0.16204609,0.0
-3.5,67.5,29.221199,,0.0
-3.5,68.5,29.155445,,0.0
-3.5,69.5,29.13145,,0.0
-3.5,70.5,29.150827,,0.0
-3.5,71.5,29.164385,,0.0
-3.5,72.5,29.16663,,0.0
-3.5,73.5,29.18761,,0.0
-3.5,74.5,29.239168,,0.0
-3.5,75.5,29.281788,,0.0
-3.5,76.5,29.292688,,0.0
-3.5,77.5,29.289606,,0.0
-3.5,78.5,29.273872,,0.0
-3.5,79.5,29.207592,,0.0
-3.5,80.5,29.11579,,0.0
-2.5,60.5,29.188549,,0.0
-2.5,61.5,29.175282,,0.0
-2.5,62.5,29.13405,,0.0
-2.5,63.5,29.113699,,0.0
-2.5,64.5,29.134789,,0.0
-2.5,65.5,29.151714,,0.0
-2.5,66.5,29.159037,,0.0
-2.5,67.5,29.160904,,0.0
-2.5,68.5,29.148903,,0.0
-2.5,69.5,29.155924,,0.0
-2.5,70.5,29.18832,,0.0
-2.5,71.5,29.204674,,0.0
-2.5,72.5,29.200987,,0.0
-2.5,73.5,29.21228,,0.0
-2.5,74.5,29.254951,,0.0
-2.5,75.5,29.288746,,0.0
-2.5,76.5,29.287413,,0.0
-2.5,77.5,29.289616,,0.0
-2.5,78.5,29.294722,,0.0
-2.5,79.5,29.269526,,0.0
-2.5,80.5,29.238148,,0.0
-1.5,60.5,29.197578,,0.0
-1.5,61.5,29.198778,,0.0
-1.5,62.5,29.158989,,0.0
-1.5,63.5,29.136917,,0.0
-1.5,64.5,29.163769,0.1514248,0.0
-1.5,65.5,29.176994,0.11777148,0.0
-1.5,66.5,29.178444,,0.0
-1.5,67.5,29.185246,,0.0
-1.5,68.5,29.171268,,0.0
-1.5,69.5,29.164402,,0.0
-1.5,70.5,29.182465,,0.0
-1.5,71.5,29.192001,,0.0
-1.5,72.5,29.18642,,0.0
-1.5,73.5,29.196575,,0.0
-1.5,74.5,29.240246,,0.0
-1.5,75.5,29.278118,,0.0
-1.5,76.5,29.285236,,0.0
-1.5,77.5,29.291702,,0.0
-1.5,78.5,29.299686,,0.0
-1.5,79.5,29.289265,,0.0
-1.5,80.5,29.272991,,0.0
-0.5,60.5,29.18618,,0.0
-0.5,61.5,29.20613,,0.0
-0.5,62.5,29.14928,,0.0
-0.5,63.5,29.124477,,0.0
-0.5,64.5,29.17104,,0.0
-0.5,65.5,29.219492,,0.0
-0.5,66.5,29.26593,,0.0
-0.5,67.5,29.266544,,0.0
