date,latitude,longitude,temperature
2020-01-16 12:00:00+00:00,5.5,76.5,28.645761
2020-01-16 12:00:00+00:00,5.5,77.5,28.575634
2020-01-16 12:00:00+00:00,5.5,78.5,28.506851
2020-01-16 12:00:00+00:00,5.5,79.5,28.512035
2020-01-16 12:00:00+00:00,5.5,80.5,28.658644
2020-01-16 12:00:00+00:00,4.5,60.5,28.53683
2020-01-16 12:00:00+00:00,4.5,61.5,28.68527
2020-01-16 12:00:00+00:00,4.5,62.5,28.783361
2020-01-16 12:00:00+00:00,4.5,63.5,28.866123
2020-01-16 12:00:00+00:00,4.5,64.5,28.96246
2020-01-16 12:00:00+00:00,4.5,65.5,29.0643
2020-01-16 12:00:00+00:00,4.5,66.5,29.15588
2020-01-16 12:00:00+00:00,4.5,67.5,29.208395
2020-01-16 12:00:00+00:00,4.5,68.5,29.219212
2020-01-16 12:00:00+00:00,4.5,69.5,29.158016
2020-01-16 12:00:00+00:00,4.5,70.5,29.025747
2020-01-16 12:00:00+00:00,4.5,71.5,28.947615
2020-01-16 12:00:00+00:00,4.5,72.5,28.929726
2020-01-16 12:00:00+00:00,4.5,73.5,28.908733
2020-01-16 12:00:00+00:00,4.5,74.5,28.878498
2020-01-16 12:00:00+00:00,4.5,75.5,28.80751
2020-01-16 12:00:00+00:00,4.5,76.5,28.705898
2020-01-16 12:00:00+00:00,4.5,77.5,28.650894
2020-01-16 12:00:00+00:00,4.5,78.5,28.655394
2020-01-16 12:00:00+00:00,4.5,79.5,28.683838
2020-01-16 12:00:00+00:00,4.5,80.5,28.733208
2020-01-16 12:00:00+00:00,3.5,60.5,28.63523
2020-01-16 12:00:00+00:00,3.5,61.5,28.775341
2020-01-16 12:00:00+00:00,3.5,62.5,28.867119
2020-01-16 12:00:00+00:00,3.5,63.5,28.943142
2020-01-16 12:00:00+00:00,3.5,64.5,29.028322
2020-01-16 12:00:00+00:00,3.5,65.5,29.1082
2020-01-16 12:00:00+00:00,3.5,66.5,29.174803
2020-01-16 12:00:00+00:00,3.5,67.5,29.211212
2020-01-16 12:00:00+00:00,3.5,68.5,29.218513
2020-01-16 12:00:00+00:00,3.5,69.5,29.164156
2020-01-16 12:00:00+00:00,3.5,70.5,29.04719
2020-01-16 12:00:00+00:00,3.5,71.5,28.988607
2020-01-16 12:00:00+00:00,3.5,72.5,28.98861
2020-01-16 12:00:00+00:00,3.5,73.5,28.98164
2020-01-16 12:00:00+00:00,3.5,74.5,28.969376
2020-01-16 12:00:00+00:00,3.5,75.5,28.91617
2020-01-16 12:00:00+00:00,3.5,76.5,28.8298
2020-01-16 12:00:00+00:00,3.5,77.5,28.799242
2020-01-16 12:00:00+00:00,3.5,78.5,28.829483
2020-01-16 12:00:00+00:00,3.5,79.5,28.870522
2020-01-16 12:00:00+00:00,3.5,80.5,28.928852
2020-01-16 12:00:00+00:00,2.5,60.5,28.747341
2020-01-16 12:00:00+00:00,2.5,61.5,28.855793
2020-01-16 12:00:00+00:00,2.5,62.5,28.91487
2020-01-16 12:00:00+00:00,2.5,63.5,28.9931
2020-01-16 12:00:00+00:00,2.5,64.5,29.116093
2020-01-16 12:00:00+00:00,2.5,65.5,29.192043
2020-01-16 12:00:00+00:00,2.5,66.5,29.207575
2020-01-16 12:00:00+00:00,2.5,67.5,29.209526
2020-01-16 12:00:00+00:00,2.5,68.5,29.198372
2020-01-16 12:00:00+00:00,2.5,69.5,29.149399
2020-01-16 12:00:00+00:00,2.5,70.5,29.071686
2020-01-16 12:00:00+00:00,2.5,71.5,29.020699
2020-01-16 12:00:00+00:00,2.5,72.5,28.991344
2020-01-16 12:00:00+00:00,2.5,73.5,28.99191
2020-01-16 12:00:00+00:00,2.5,74.5,29.021538
2020-01-16 12:00:00+00:00,2.5,75.5,29.012201
2020-01-16 12:00:00+00:00,2.5,76.5,28.981302
2020-01-16 12:00:00+00:00,2.5,77.5,28.972435
2020-01-16 12:00:00+00:00,2.5,78.5,28.975985
2020-01-16 12:00:00+00:00,2.5,79.5,29.027971
2020-01-16 12:00:00+00:00,2.5,80.5,29.131762
2020-01-16 12:00:00+00:00,1.5,60.5,28.90651
2020-01-16 12:00:00+00:00,1.5,61.5,28.978794
2020-01-16 12:00:00+00:00,1.5,62.5,28.98809
2020-01-16 12:00:00+00:00,1.5,63.5,29.0375
2020-01-16 12:00:00+00:00,1.5,64.5,29.161861
2020-01-16 12:00:00+00:00,1.5,65.5,29.24484
2020-01-16 12:00:00+00:00,1.5,66.5,29.264086
2020-01-16 12:00:00+00:00,1.5,67.5,29.25232
2020-01-16 12:00:00+00:00,1.5,68.5,29.205162
2020-01-16 12:00:00+00:00,1.5,69.5,29.142694
2020-01-16 12:00:00+00:00,1.5,70.5,29.083424
2020-01-16 12:00:00+00:00,1.5,71.5,29.040644
2020-01-16 12:00:00+00:00,1.5,72.5,29.00932
2020-01-16 12:00:00+00:00,1.5,73.5,29.023407
2020-01-16 12:00:00+00:00,1.5,74.5,29.077202
2020-01-16 12:00:00+00:00,1.5,75.5,29.096958
2020-01-16 12:00:00+00:00,1.5,76.5,29.102182
2020-01-16 12:00:00+00:00,1.5,77.5,29.106485
2020-01-16 12:00:00+00:00,1.5,78.5,29.09972
2020-01-16 12:00:00+00:00,1.5,79.5,29.141743
2020-01-16 12:00:00+00:00,1.5,80.5,29.225327
2020-01-16 12:00:00+00:00,0.5,60.5,29.078625
2020-01-16 12:00:00+00:00,0.5,61.5,29.121084
2020-01-16 12:00:00+00:00,0.5,62.5,29.079163
2020-01-16 12:00:00+00:00,0.5,63.5,29.080284
2020-01-16 12:00:00+00:00,0.5,64.5,29.165703
2020-01-16 12:00:00+00:00,0.5,65.5,29.245499
2020-01-16 12:00:00+00:00,0.5,66.5,29.302029
2020-01-16 12:00:00+00:00,0.5,67.5,29.293953
2020-01-16 12:00:00+00:00,0.5,68.5,29.204617
2020-01-16 12:00:00+00:00,0.5,69.5,29.124664
2020-01-16 12:00:00+00:00,0.5,70.5,29.077217
2020-01-16 12:00:00+00:00,0.5,71.5,29.051485
2020-01-16 12:00:00+00:00,0.5,72.5,29.04324
2020-01-16 12:00:00+00:00,0.5,73.5,29.070606
2020-01-16 12:00:00+00:00,0.5,74.5,29.132475
2020-01-16 12:00:00+00:00,0.5,75.5,29.178448
2020-01-16 12:00:00+00:00,0.5,76.5,29.213068
2020-01-16 12:00:00+00:00,0.5,77.5,29.223938
2020-01-16 12:00:00+00:00,0.5,78.5,29.21269
2020-01-16 12:00:00+00:00,0.5,79.5,29.212503
2020-01-16 12:00:00+00:00,0.5,80.5,29.209255
2020-01-16 12:00:00+00:00,-0.5,60.5,29.18618
2020-01-16 12:00:00+00:00,-0.5,61.5,29.20613
2020-01-16 12:00:00+00:00,-0.5,62.5,29.14928
2020-01-16 12:00:00+00:00,-0.5,63.5,29.124477
2020-01-16 12:00:00+00:00,-0.5,64.5,29.17104
2020-01-16 12:00:00+00:00,-0.5,65.5,29.219492
2020-01-16 12:00:00+00:00,-0.5,66.5,29.26593
2020-01-16 12:00:00+00:00,-0.5,67.5,29.266544
2020-01-16 12:00:00+00:00,-0.5,68.5,29.192434
2020-01-16 12:00:00+00:00,-0.5,69.5,29.133076
2020-01-16 12:00:00+00:00,-0.5,70.5,29.112827
2020-01-16 12:00:00+00:00,-0.5,71.5,29.105097
2020-01-16 12:00:00+00:00,-0.5,72.5,29.103552
2020-01-16 12:00:00+00:00,-0.5,73.5,29.127033
2020-01-16 12:00:00+00:00,-0.5,74.5,29.185863
2020-01-16 12:00:00+00:00,-0.5,75.5,29.241108
2020-01-16 12:00:00+00:00,-0.5,76.5,29.278324
2020-01-16 12:00:00+00:00,-0.5,77.5,29.288347
2020-01-16 12:00:00+00:00,-0.5,78.5,29.27786
2020-01-16 12:00:00+00:00,-0.5,79.5,29.25486
2020-01-16 12:00:00+00:00,-0.5,80.5,29.214119
2020-01-16 12:00:00+00:00,-1.5,60.5,29.197578
